id;user_id;session_id;created_at;category;module;action;entity_type;entity_id;entity_name;value_amount;value_currency;duration_ms;sequence_position;context;source_url;referrer_url;device_type;related_user_ids;related_entity_ids;embedding_processed;embedding_version
e678adf6-2901-417b-94cb-171138b0a98a;b8c5a162-5141-422e-9924-dc0e8c333790;3d0d381e-66bd-4614-888d-155f56e74231;2025-12-07 08:36:49.483287+00;navigation;dashboard;page_viewed;page;;/dashboard;;USD;667;;"{""current_route"":""/dashboard"",""previous_route"":""/auth""}";/dashboard;https://9eb4fb51-331f-4c3e-bbd2-12bd5e26ea30.lovableproject.com/?__lovable_token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyX2lkIjoiNE1YWDlDdENDNVo4aDdUVXlJSU9kNnc2ZldjMiIsInByb2plY3RfaWQiOiI5ZWI0ZmI1MS0zMzFmLTRjM2UtYmJkMi0xMmJkNWUyNmVhMzAiLCJub25jZSI6ImU5NDM5NjQwNTFhNDE5NTQ5YzY3Y2JjYWI2OGJkZGEwIiwiaXNzIjoibG92YWJsZS1hcGkiLCJzdWIiOiI5ZWI0ZmI1MS0zMzFmLTRjM2UtYmJkMi0xMmJkNWUyNmVhMzAiLCJhdWQiOlsibG92YWJsZS1hcHAiXSwiZXhwIjoxNzY1Njk4Mjc1LCJuYmYiOjE3NjUwOTM0NzUsImlhdCI6MTc2NTA5MzQ3NX0.QVHQ0OklbIxYDqqqNM0sjh8mFriD6OU7gDqciQ91KFU;desktop;;;false;
4f38ec36-7c4a-4aa8-8de6-0e8946a71c3d;b8c5a162-5141-422e-9924-dc0e8c333790;3f06615d-cb5a-4b91-bef8-3cf7ec606f04;2025-12-07 08:37:38.129338+00;navigation;website_builder;page_viewed;page;;/website-builder;;USD;48591;;"{""current_route"":""/website-builder"",""previous_route"":""/dashboard""}";/website-builder;https://9eb4fb51-331f-4c3e-bbd2-12bd5e26ea30.lovableproject.com/?__lovable_token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyX2lkIjoiNE1YWDlDdENDNVo4aDdUVXlJSU9kNnc2ZldjMiIsInByb2plY3RfaWQiOiI5ZWI0ZmI1MS0zMzFmLTRjM2UtYmJkMi0xMmJkNWUyNmVhMzAiLCJub25jZSI6ImU5NDM5NjQwNTFhNDE5NTQ5YzY3Y2JjYWI2OGJkZGEwIiwiaXNzIjoibG92YWJsZS1hcGkiLCJzdWIiOiI5ZWI0ZmI1MS0zMzFmLTRjM2UtYmJkMi0xMmJkNWUyNmVhMzAiLCJhdWQiOlsibG92YWJsZS1hcHAiXSwiZXhwIjoxNzY1Njk4Mjc1LCJuYmYiOjE3NjUwOTM0NzUsImlhdCI6MTc2NTA5MzQ3NX0.QVHQ0OklbIxYDqqqNM0sjh8mFriD6OU7gDqciQ91KFU;desktop;;;false;
2c876b47-754f-4c2b-a4ac-13c96c284e04;b8c5a162-5141-422e-9924-dc0e8c333790;3f06615d-cb5a-4b91-bef8-3cf7ec606f04;2025-12-07 08:43:48.593421+00;navigation;tools;page_viewed;page;;/tools;;USD;358247;;"{""current_route"":""/tools"",""previous_route"":""/driveby""}";/tools;https://9eb4fb51-331f-4c3e-bbd2-12bd5e26ea30.lovableproject.com/?__lovable_token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyX2lkIjoiNE1YWDlDdENDNVo4aDdUVXlJSU9kNnc2ZldjMiIsInByb2plY3RfaWQiOiI5ZWI0ZmI1MS0zMzFmLTRjM2UtYmJkMi0xMmJkNWUyNmVhMzAiLCJub25jZSI6ImU5NDM5NjQwNTFhNDE5NTQ5YzY3Y2JjYWI2OGJkZGEwIiwiaXNzIjoibG92YWJsZS1hcGkiLCJzdWIiOiI5ZWI0ZmI1MS0zMzFmLTRjM2UtYmJkMi0xMmJkNWUyNmVhMzAiLCJhdWQiOlsibG92YWJsZS1hcHAiXSwiZXhwIjoxNzY1Njk4Mjc1LCJuYmYiOjE3NjUwOTM0NzUsImlhdCI6MTc2NTA5MzQ3NX0.QVHQ0OklbIxYDqqqNM0sjh8mFriD6OU7gDqciQ91KFU;desktop;;;false;
2809a696-68f1-4d02-af4c-0c1bb4383c12;b8c5a162-5141-422e-9924-dc0e8c333790;ab1932a2-97ef-4178-8ebb-0ab7b3d399ff;2025-12-07 08:52:34.183728+00;navigation;dashboard;page_viewed;page;;/dashboard;;USD;4173;;"{""current_route"":""/dashboard"",""previous_route"":""/tools""}";/dashboard;https://9eb4fb51-331f-4c3e-bbd2-12bd5e26ea30.lovableproject.com/tools;desktop;;;false;
618be9e2-656a-4504-bb98-86cef8fb3a7b;b8c5a162-5141-422e-9924-dc0e8c333790;facea5ce-671e-4d3e-8104-b89284440335;2025-12-07 09:33:27.553642+00;navigation;workflows;page_viewed;page;;/workflows;;USD;372056;;"{""current_route"":""/workflows"",""previous_route"":""/dashboard""}";/workflows;https://9eb4fb51-331f-4c3e-bbd2-12bd5e26ea30.lovableproject.com/dashboard;desktop;;;false;
7fe76cda-38fd-4ed4-801a-6bcdfeb3fc74;b8c5a162-5141-422e-9924-dc0e8c333790;facea5ce-671e-4d3e-8104-b89284440335;2025-12-07 09:33:43.901611+00;navigation;dashboard;page_viewed;page;;/dashboard;;USD;17047;;"{""current_route"":""/dashboard"",""previous_route"":""/workflows""}";/dashboard;https://9eb4fb51-331f-4c3e-bbd2-12bd5e26ea30.lovableproject.com/dashboard;desktop;;;false;
9d9918a5-d6cd-4553-b052-1c3ead828b20;b8c5a162-5141-422e-9924-dc0e8c333790;b8f0d32a-f98c-4deb-863e-19813dda5947;2025-12-07 09:53:54.560182+00;navigation;social;page_viewed;page;;/social;;USD;385735;;"{""current_route"":""/social"",""previous_route"":""/dashboard""}";/social;https://9eb4fb51-331f-4c3e-bbd2-12bd5e26ea30.lovableproject.com/dashboard;desktop;;;false;
ce5f23a2-cc6c-47ae-a28d-3b495231e4c5;b8c5a162-5141-422e-9924-dc0e8c333790;b8f0d32a-f98c-4deb-863e-19813dda5947;2025-12-07 09:53:56.821296+00;navigation;social;page_viewed;page;;/social-media;;USD;2666;;"{""current_route"":""/social-media"",""previous_route"":""/social""}";/social-media;https://9eb4fb51-331f-4c3e-bbd2-12bd5e26ea30.lovableproject.com/dashboard;desktop;;;false;
0b2e516e-14f6-4891-8374-49d721ec149d;b8c5a162-5141-422e-9924-dc0e8c333790;b8f0d32a-f98c-4deb-863e-19813dda5947;2025-12-07 09:54:15.282866+00;navigation;ai_gift_cards;page_viewed;page;;/ai-gift-cards;;USD;18152;;"{""current_route"":""/ai-gift-cards"",""previous_route"":""/social-media""}";/ai-gift-cards;https://9eb4fb51-331f-4c3e-bbd2-12bd5e26ea30.lovableproject.com/dashboard;desktop;;;false;
d686884e-391f-4cf8-abc6-b6502475f80e;b8c5a162-5141-422e-9924-dc0e8c333790;b8f0d32a-f98c-4deb-863e-19813dda5947;2025-12-07 09:54:26.715175+00;navigation;ecosystem;page_viewed;page;;/ecosystem/app-store;;USD;11605;;"{""current_route"":""/ecosystem/app-store"",""previous_route"":""/ai-gift-cards""}";/ecosystem/app-store;https://9eb4fb51-331f-4c3e-bbd2-12bd5e26ea30.lovableproject.com/dashboard;desktop;;;false;
