id;hubspot_company_id;name;domain;industry;address;city;state;zip;phone;website;raw_properties;created_at;updated_at;synced_at
5ce457af-0ce9-4a87-9854-4d289bb9734a;266112214721;JTE Real Estate Services;jterealestateservices.com;REAL_ESTATE;323 Weston Avenue;Aurora;Illinois;60505;	+16303404998;https://jterealestateservices.com;"{""address"":""323 Weston Avenue"",""city"":""Aurora"",""createdate"":""2026-01-21T10:12:35.063Z"",""domain"":""jterealestateservices.com"",""hs_lastmodifieddate"":""2026-01-21T10:12:35.705Z"",""hs_object_id"":""266112214721"",""industry"":""REAL_ESTATE"",""name"":""JTE Real Estate Services"",""phone"":""+16303404998"",""state"":""Illinois"",""website"":""https://jterealestateservices.com"",""zip"":""60505""}";2026-01-21 10:12:38.056956+00;2026-01-21 10:12:38.056956+00;2026-01-21 10:12:37.801+00
b571eed0-6416-49b5-a536-b63d1ff00323;265878622921;;lenoirmillsnc.com;;;;;;;lenoirmillsnc.com;"{""address"":null,""city"":null,""createdate"":""2026-01-21T17:35:43.917Z"",""domain"":""lenoirmillsnc.com"",""hs_lastmodifieddate"":""2026-01-21T17:35:44.549Z"",""hs_object_id"":""265878622921"",""industry"":null,""name"":null,""phone"":null,""state"":null,""website"":""lenoirmillsnc.com"",""zip"":null}";2026-01-21 17:35:46.250307+00;2026-01-21 17:35:46.250307+00;2026-01-21 17:35:46.081+00
6848ed2a-d506-43f6-bdbc-80cb0ba6d60d;266840846070;Bettencourt Construction;bettencourtconstruction.com;CONSTRUCTION;6798 Crosswinds Drive North;St. Petersburg;Florida;33710;;bettencourtconstruction.com;"{""address"":""6798 Crosswinds Drive North"",""city"":""St. Petersburg"",""createdate"":""2026-01-21T17:59:53.693Z"",""domain"":""bettencourtconstruction.com"",""hs_lastmodifieddate"":""2026-01-21T17:59:54.291Z"",""hs_object_id"":""266840846070"",""industry"":""CONSTRUCTION"",""name"":""Bettencourt Construction"",""phone"":null,""state"":""Florida"",""website"":""bettencourtconstruction.com"",""zip"":""33710""}";2026-01-21 17:59:55.547536+00;2026-01-21 17:59:55.547536+00;2026-01-21 17:59:55.424+00
9aae0de4-8343-4cbb-9b83-744fa370fd7e;265926561495;Green Street;greenstreet.nyc;COMMERCIAL_REAL_ESTATE;;New York;New York;10001;	+19178534721;https://greenstreet.nyc;"{""address"":null,""city"":""New York"",""createdate"":""2026-01-22T09:47:35.308Z"",""domain"":""greenstreet.nyc"",""hs_lastmodifieddate"":""2026-01-22T09:47:35.843Z"",""hs_object_id"":""265926561495"",""industry"":""COMMERCIAL_REAL_ESTATE"",""name"":""Green Street"",""phone"":""+19178534721"",""state"":""New York"",""website"":""https://greenstreet.nyc"",""zip"":""10001""}";2026-01-22 09:47:38.731671+00;2026-01-22 09:47:38.731671+00;2026-01-22 09:47:38.541+00
89fcbcb6-4ab6-404c-ba8c-77307930a413;265926561502;Gomes Group;bygomes.com;REAL_ESTATE;254-270 Orange Street;Newark;New Jersey;07103;	+19737320125;https://bygomes.com;"{""address"":""254-270 Orange Street"",""city"":""Newark"",""createdate"":""2026-01-22T09:54:12.003Z"",""domain"":""bygomes.com"",""hs_lastmodifieddate"":""2026-01-22T09:54:12.522Z"",""hs_object_id"":""265926561502"",""industry"":""REAL_ESTATE"",""name"":""Gomes Group"",""phone"":""+19737320125"",""state"":""New Jersey"",""website"":""https://bygomes.com"",""zip"":""07103""}";2026-01-22 09:54:14.609275+00;2026-01-22 09:54:14.609275+00;2026-01-22 09:54:14.473+00
7258bfca-8d6a-435f-a08f-648d17463223;267934730972;ArtHaus Partners;arthauspartners.com;COMMERCIAL_REAL_ESTATE;;Oakland;CA;33154;	+14153919800;https://arthauspartners.com;"{""address"":null,""city"":""Oakland"",""createdate"":""2026-01-22T12:30:47.972Z"",""domain"":""arthauspartners.com"",""hs_lastmodifieddate"":""2026-01-22T12:30:48.545Z"",""hs_object_id"":""267934730972"",""industry"":""COMMERCIAL_REAL_ESTATE"",""name"":""ArtHaus Partners"",""phone"":""+14153919800"",""state"":""CA"",""website"":""https://arthauspartners.com"",""zip"":""33154""}";2026-01-22 12:30:50.739158+00;2026-01-22 12:30:50.739158+00;2026-01-22 12:30:50.241+00
b211c729-f6f0-472d-97d5-67a001c22eb3;266112264928;Pracon;praconglobalinvest.com;BUSINESS_SUPPLIES_AND_EQUIPMENT;3220 North State Street;Jackson;Mississippi;39216;	+16012918275;https://www.praconglobalinvest.com;"{""address"":""3220 North State Street"",""city"":""Jackson"",""createdate"":""2026-01-22T12:37:51.935Z"",""domain"":""praconglobalinvest.com"",""hs_lastmodifieddate"":""2026-01-22T12:37:52.291Z"",""hs_object_id"":""266112264928"",""industry"":""BUSINESS_SUPPLIES_AND_EQUIPMENT"",""name"":""Pracon"",""phone"":""+16012918275"",""state"":""Mississippi"",""website"":""https://www.praconglobalinvest.com"",""zip"":""39216""}";2026-01-22 12:37:54.214353+00;2026-01-22 12:37:54.214353+00;2026-01-22 12:37:54.043+00
8f50e68c-a5d8-4d39-97c0-552b7a8b6759;267965373158;Western Pulp;westernpulp.com;PAPER_FOREST_PRODUCTS;5025 SW Hout St;Corvallis;Oregon;97333;	+15417571151;westernpulp.com;"{""address"":""5025 SW Hout St"",""city"":""Corvallis"",""createdate"":""2026-01-22T14:36:17.866Z"",""domain"":""westernpulp.com"",""hs_lastmodifieddate"":""2026-01-22T14:36:18.256Z"",""hs_object_id"":""267965373158"",""industry"":""PAPER_FOREST_PRODUCTS"",""name"":""Western Pulp"",""phone"":""+15417571151"",""state"":""Oregon"",""website"":""westernpulp.com"",""zip"":""97333""}";2026-01-22 14:36:20.723461+00;2026-01-22 14:36:20.723461+00;2026-01-22 14:36:20.273+00
ed041e3f-4fdc-449c-8558-a67d15269425;268073537261;;odinprop.com;;;;;;;odinprop.com;"{""address"":null,""city"":null,""createdate"":""2026-01-22T17:53:16.479Z"",""domain"":""odinprop.com"",""hs_lastmodifieddate"":""2026-01-22T17:53:17.991Z"",""hs_object_id"":""268073537261"",""industry"":null,""name"":null,""phone"":null,""state"":null,""website"":""odinprop.com"",""zip"":null}";2026-01-22 17:53:19.190739+00;2026-01-22 17:53:19.190739+00;2026-01-22 17:53:18.678+00
7576cd69-4918-4b13-974c-38ff19c295fa;265926617842;Essence Development;essencedev.com;;6 Greene Street;New York;New York;10013;;essencedev.com;"{""address"":""6 Greene Street"",""city"":""New York"",""createdate"":""2026-01-23T10:06:55.490Z"",""domain"":""essencedev.com"",""hs_lastmodifieddate"":""2026-01-23T10:06:56.030Z"",""hs_object_id"":""265926617842"",""industry"":null,""name"":""Essence Development"",""phone"":null,""state"":""New York"",""website"":""essencedev.com"",""zip"":""10013""}";2026-01-23 10:06:58.811774+00;2026-01-23 10:06:58.811774+00;2026-01-23 10:06:58.68+00
