id;user_id;notebook_id;title;content;summary;source_url;source_type;source_platform;file_path;file_type;file_size;transcription;transcription_status;processing_status;ai_tags;ai_categories;key_points;entities;embedding;review_count;last_reviewed_at;next_review_at;ease_factor;interval_days;mastery_level;flashcards;is_template;shared_with;metadata;created_at;updated_at
bc55fad9-c6cb-4cdf-81a1-26bbe03a7799;b8c5a162-5141-422e-9924-dc0e8c333790;;https://www.instagram.com/p/DStBDP2keOI/?img_index...;https://www.instagram.com/p/DStBDP2keOI/?img_index=7&igsh=MTY5YXZ2cGtkbXJudA== We need products like this for our NANO supplements or NANO Nutrition brand. Give me some unique names of the products for our brand and then we will make the packaging ;;;text;;;;;;pending;pending;[];[];[];[];;0;;;2.5;1;0;[];false;[];{};2025-12-26 22:44:41.953381+00;2025-12-26 22:44:41.953381+00
e7410024-ff15-4687-86f4-1253fa23721d;b8c5a162-5141-422e-9924-dc0e8c333790;;IMG_1732.png;;;;image;;b8c5a162-5141-422e-9924-dc0e8c333790/1766789113959-5wcj2q.png;image/png;4801326;;pending;pending;[];[];[];[];;0;;;2.5;1;0;[];false;[];{};2025-12-26 22:45:17.134386+00;2025-12-26 22:45:17.134386+00
592d11ec-6c70-4e13-bc58-0fbdc51e7392;b8c5a162-5141-422e-9924-dc0e8c333790;;IMG_1733.png;;;;image;;b8c5a162-5141-422e-9924-dc0e8c333790/1766789117313-d0sv1.png;image/png;5412395;;pending;pending;[];[];[];[];;0;;;2.5;1;0;[];false;[];{};2025-12-26 22:45:19.364178+00;2025-12-26 22:45:19.364178+00
56180af5-b127-45bb-a939-5ae1c9e62023;b8c5a162-5141-422e-9924-dc0e8c333790;;IMG_1734.png;;;;image;;b8c5a162-5141-422e-9924-dc0e8c333790/1766789119557-br9ath.png;image/png;4399503;;pending;pending;[];[];[];[];;0;;;2.5;1;0;[];false;[];{};2025-12-26 22:45:21.269532+00;2025-12-26 22:45:21.269532+00
d33d6756-96a2-47ff-8ed0-94be8890ff3b;b8c5a162-5141-422e-9924-dc0e8c333790;;IMG_1735.png;;;;image;;b8c5a162-5141-422e-9924-dc0e8c333790/1766789121478-c5je5u.png;image/png;3365418;;pending;pending;[];[];[];[];;0;;;2.5;1;0;[];false;[];{};2025-12-26 22:45:23.017677+00;2025-12-26 22:45:23.017677+00
555165e6-a39c-4877-a434-09dee25436a1;b8c5a162-5141-422e-9924-dc0e8c333790;;IMG_1736.png;;;;image;;b8c5a162-5141-422e-9924-dc0e8c333790/1766789123112-nop55a.png;image/png;3653259;;pending;pending;[];[];[];[];;0;;;2.5;1;0;[];false;[];{};2025-12-26 22:45:25.739863+00;2025-12-26 22:45:25.739863+00
f281b952-84f9-40fa-b6fe-4df6964603b0;b8c5a162-5141-422e-9924-dc0e8c333790;;IMG_1732.png;;;;image;;b8c5a162-5141-422e-9924-dc0e8c333790/1766789122730-d9iimr.png;image/png;4801326;;pending;pending;[];[];[];[];;0;;;2.5;1;0;[];false;[];{};2025-12-26 22:45:26.454484+00;2025-12-26 22:45:26.454484+00
74c086e3-b99b-4aaa-aada-e38784823979;b8c5a162-5141-422e-9924-dc0e8c333790;;IMG_1737.png;;;;image;;b8c5a162-5141-422e-9924-dc0e8c333790/1766789125957-gblpl.png;image/png;3754579;;pending;pending;[];[];[];[];;0;;;2.5;1;0;[];false;[];{};2025-12-26 22:45:28.492553+00;2025-12-26 22:45:28.492553+00
4acde089-2132-472f-9086-7d571ec79a02;b8c5a162-5141-422e-9924-dc0e8c333790;;IMG_1733.png;;;;image;;b8c5a162-5141-422e-9924-dc0e8c333790/1766789126541-99c7v2.png;image/png;5412395;;pending;pending;[];[];[];[];;0;;;2.5;1;0;[];false;[];{};2025-12-26 22:45:29.957221+00;2025-12-26 22:45:29.957221+00
7d43463f-f7db-43f8-8de0-3224302d58e2;b8c5a162-5141-422e-9924-dc0e8c333790;;IMG_1734.png;;;;image;;b8c5a162-5141-422e-9924-dc0e8c333790/1766789130037-y0we0m.png;image/png;4399503;;pending;pending;[];[];[];[];;0;;;2.5;1;0;[];false;[];{};2025-12-26 22:45:31.820836+00;2025-12-26 22:45:31.820836+00
ec8cd8f9-5ae8-4323-a07a-ebb0aa6f73e9;b8c5a162-5141-422e-9924-dc0e8c333790;;IMG_1735.png;;;;image;;b8c5a162-5141-422e-9924-dc0e8c333790/1766789132045-hgz2lm.png;image/png;3365418;;pending;pending;[];[];[];[];;0;;;2.5;1;0;[];false;[];{};2025-12-26 22:45:34.400448+00;2025-12-26 22:45:34.400448+00
8590be4d-d75f-4edf-bd8d-46e56e34063e;b8c5a162-5141-422e-9924-dc0e8c333790;;IMG_1736.png;;;;image;;b8c5a162-5141-422e-9924-dc0e8c333790/1766789134597-lwygzh.png;image/png;3653259;;pending;pending;[];[];[];[];;0;;;2.5;1;0;[];false;[];{};2025-12-26 22:45:36.307619+00;2025-12-26 22:45:36.307619+00
