id;agent_id;agent_slug;external_platform;activity_type;activity_data;target_contact_id;target_company_id;target_deal_id;outcome_type;outcome_value;attributed_to_user_id;deal_room_id;synced_to_hubspot;hubspot_sync_id;created_at;hubspot_sync_error
4ef4a3aa-08bb-4aad-bc93-113bf46063f8;;signal_scout;lindy_ai;trigger_detected;"{""company_name"":""Gables Residential"",""confidence"":80,""contact_email"":""lstokes@gables.com"",""priority"":""high"",""signal_title"":""Joint Venture for 243-Unit Colorado Development"",""talking_point"":""Recently announced JV partnership with Milehouse""}";;;;trigger_detected;0;;a1b2c3d4-e5f6-7890-abcd-ef1234567890;false;;2026-01-30 19:46:00.183704+00;
67f23456-8417-4d8e-8f97-92a4ed7373e4;;signal_scout;lindy_ai;trigger_detected;"{""company_domain"":""gables.com"",""company_name"":""Gables Residential"",""confidence"":80,""priority"":""high"",""signal_title"":""Joint Venture for 243-Unit Colorado Development"",""source_url"":""https://www.globenewswire.com/example"",""talking_point"":""Congratulations on the Gables Angeline project!""}";;;;trigger_detected;0;;a1b2c3d4-e5f6-7890-abcd-ef1234567890;false;;2026-02-02 13:37:50.080504+00;
79087f19-4867-47f1-8fed-70fcc50a0cd6;;696fa8e2ed02291008fa9d34;lindy_ai;trigger_detected;"{""company_domain"":""gables.com"",""company_name"":""Gables Residential"",""confidence"":80,""priority"":""high"",""signal_title"":""Joint Venture for 243-Unit Colorado Development"",""source_url"":""https://www.globenewswire.com/example"",""talking_point"":""Congratulations on the Gables Angeline project!""}";;;;trigger_detected;0;;a1b2c3d4-e5f6-7890-abcd-ef1234567890;false;;2026-02-02 13:43:27.288728+00;
c2da6b5b-f8f1-46a5-8a30-86a9b33cd23c;;signal_scout;lindy_ai;trigger_detected;"{""company_domain"":""gables.com"",""company_name"":""Gables Residential"",""confidence"":80,""priority"":""high"",""signal_title"":""Joint Venture for 243-Unit Colorado Development"",""source_url"":""https://www.globenewswire.com/example"",""talking_point"":""Congratulations on the Gables Angeline project!""}";;;;trigger_detected;0;;a1b2c3d4-e5f6-7890-abcd-ef1234567890;false;;2026-02-02 19:09:56.601774+00;
ce97cd60-170b-4e85-aec8-b7ea68f1cc5e;;signal_scout;lindy_ai;trigger_detected;"{""company_name"":""Test Company"",""signal_title"":""New permit filed""}";;;;trigger_detected;0;;a1b2c3d4-e5f6-7890-abcd-ef1234567890;false;;2026-02-02 19:54:56.456039+00;
e0cfb79f-2ac7-45ed-920c-0b1714eab328;;signal_scout;lindy_ai;trigger_detected;"{""company_name"":""Test Verification Company"",""signal_title"":""Testing fix deployment""}";;;;trigger_detected;0;;a1b2c3d4-e5f6-7890-abcd-ef1234567890;false;;2026-02-02 19:58:13.140991+00;
2bee356d-9e27-4d59-8849-ae31b666d4a6;;signal_scout;lindy_ai;trigger_detected;"{""company_name"":""Verification Test Corp"",""confidence"":85,""signal_title"":""New commercial permit filed - Downtown Project"",""signal_type"":""permit_filing""}";;;;trigger_detected;0;;a1b2c3d4-e5f6-7890-abcd-ef1234567890;false;;2026-02-02 20:02:33.616609+00;
270145e5-d6e4-4c99-975b-dbfe0f7a5720;;signal_scout;lindy_ai;trigger_detected;"{""company_domain"":""gables.com"",""company_name"":""Gables Residential"",""confidence"":80,""priority"":""high"",""signal_title"":""Joint Venture for 243-Unit Colorado Development"",""source_url"":""https://www.globenewswire.com/example"",""talking_point"":""Congratulations on the Gables Angeline project!""}";;;;trigger_detected;0;;a1b2c3d4-e5f6-7890-abcd-ef1234567890;false;;2026-02-02 20:47:43.429977+00;
9665621f-b1da-4dc1-b775-dd418238f8ad;;signal_scout;lindy_ai;trigger_detected;"{""company_domain"":""gables.com"",""company_name"":""Gables Residential"",""confidence"":80,""priority"":""high"",""signal_title"":""Joint Venture for 243-Unit Colorado Development"",""source_url"":""https://www.globenewswire.com/example"",""talking_point"":""Congratulations on the Gables Angeline project!""}";;;;trigger_detected;0;;a1b2c3d4-e5f6-7890-abcd-ef1234567890;false;;2026-02-02 21:00:59.717671+00;
7cc4c52e-222a-4d6a-9ce7-2659ab60fa9c;;signal_scout;lindy_ai;trigger_detected;"{""company_domain"":""lennar.com"",""company_name"":""Lennar"",""confidence"":85,""priority"":""high"",""signal_title"":""Lennar breaks ground on 1,000-home Rivergrass community"",""source_url"":""https://www.gulfshorebusiness.com/development/lennar-initiates-development-on-collier-community-homes/article_727842d3-3a39-4407-9568-a41820e28fce.html"",""talking_point"":""Congratulations on breaking ground at Rivergrass! With 1,000+ homes, this is the perfect opportunity to integrate smart building technology and digital twin solutions from day one.""}";;;;trigger_detected;0;;a1b2c3d4-e5f6-7890-abcd-ef1234567890;false;;2026-02-02 21:10:05.534353+00;
