id;event_id;subscription_type;object_id;portal_id;property_name;property_value;occurred_at;processed;processed_at;processing_result;error_message;created_at
6ce2ef62-c992-42d8-ae15-9fcbd0e96a5c;2760980410;object.creation;392525976299;7005509;;;2026-01-20 23:48:50.925+00;true;2026-01-20 23:48:53.894+00;"{""message"":""Unhandled event type: object.creation"",""processed"":false}";;2026-01-20 23:48:53.732723+00
1084926f-77c7-400c-a0b4-15b953b47f3f;3342721206;object.creation;266240406232;7005509;;;2026-01-20 23:48:50.74+00;true;2026-01-20 23:48:54.121+00;"{""message"":""Unhandled event type: object.creation"",""processed"":false}";;2026-01-20 23:48:54.019334+00
e728e843-cb6a-4811-b1eb-d728f4ba6fb3;1041512981;object.propertyChange;46912098684;7005509;dealstage;closedwon;2026-01-21 00:01:34.612+00;true;2026-01-21 00:01:35.781+00;"{""message"":""Unhandled event type: object.propertyChange"",""processed"":false}";;2026-01-21 00:01:35.613725+00
303ca7a1-1ac7-4fbb-8eac-8a729216e50a;3142944967;object.propertyChange;267448725211;7005509;dealstage;3524885;2026-01-21 00:01:41.722+00;true;2026-01-21 00:01:42.447+00;"{""message"":""Unhandled event type: object.propertyChange"",""processed"":false}";;2026-01-21 00:01:42.324291+00
8756b7d2-0ff1-4ea7-be97-5d8cb00b3a3a;3733946562;object.creation;267448725211;7005509;;;2026-01-21 00:01:41.722+00;true;2026-01-21 00:01:42.926+00;"{""message"":""Unhandled event type: object.creation"",""processed"":false}";;2026-01-21 00:01:42.805456+00
1b83b521-2de2-4778-8848-4128dba4622e;1856002409;object.propertyChange;311245055725;7005509;hs_meeting_outcome;COMPLETED;2026-01-21 00:35:59.78+00;true;2026-01-21 00:36:02.129+00;"{""message"":""Unhandled event type: object.propertyChange"",""processed"":false}";;2026-01-21 00:36:01.992577+00
8e9acf73-7012-4c0b-8f21-34e72e5613e1;3834831454;object.propertyChange;257890700992;7005509;dealstage;closedwon;2026-01-21 01:17:19.133+00;true;2026-01-21 01:17:23.895+00;"{""message"":""Deal 257890700992 synced. No pending confirmations"",""processed"":true}";;2026-01-21 01:17:21.576208+00
f4a9ed54-04e2-44e6-a106-cc9cd88ded8c;1884459845;object.creation;269707156207;7005509;;;2026-01-21 05:25:12.993+00;true;2026-01-21 05:25:16.545+00;"{""message"":""Deal 269707156207 synced from generic creation"",""processed"":true}";;2026-01-21 05:25:15.551143+00
ee864569-1620-4adc-bbe6-f681b382a1e0;1927598311;object.propertyChange;269707156207;7005509;dealstage;closedwon;2026-01-21 05:25:12.993+00;true;2026-01-21 05:25:18.94+00;"{""message"":""Deal 269707156207 synced. No pending confirmations"",""processed"":true}";;2026-01-21 05:25:17.23991+00
2df89e07-747d-4409-b578-690f926bf52c;643849524;object.creation;266112214721;7005509;;;2026-01-21 10:12:35.063+00;true;2026-01-21 10:12:38.251+00;"{""message"":""Company 266112214721 synced from generic creation"",""processed"":true}";;2026-01-21 10:12:36.984586+00
072d190f-8aa5-4f4d-9605-1bd595912187;3079309371;object.creation;392372243160;7005509;;;2026-01-21 12:44:55.893+00;true;2026-01-21 12:44:58.398+00;"{""message"":""Contact 392372243160 synced from generic creation"",""processed"":true}";;2026-01-21 12:44:57.551165+00
aa28ca69-4c9f-40da-8044-0f9db7ce36eb;502185970;object.propertyChange;269389099755;7005509;dealstage;3524886;2026-01-21 13:12:28.748+00;true;2026-01-21 13:12:31.711+00;"{""message"":""Deal 269389099755 synced. Stage \""3524886\"" does not trigger payout"",""processed"":true}";;2026-01-21 13:12:30.562573+00
3118e827-2e19-4e99-b0b2-0c53ce1fa0fe;368252059;object.creation;269389099755;7005509;;;2026-01-21 13:12:28.748+00;true;2026-01-21 13:12:33.195+00;"{""message"":""Deal 269389099755 synced from generic creation"",""processed"":true}";;2026-01-21 13:12:32.156987+00
308e30a6-f8a6-43ce-8057-d3491fdb5377;3798334500;object.creation;392601062089;7005509;;;2026-01-21 13:20:07.029+00;true;2026-01-21 13:20:09.469+00;"{""message"":""Contact 392601062089 synced from generic creation"",""processed"":true}";;2026-01-21 13:20:08.687572+00
6c6504e1-cf17-4d1f-b372-7472c458ab62;3854773125;object.creation;392372251383;7005509;;;2026-01-21 14:26:25.646+00;true;2026-01-21 14:26:28.059+00;"{""message"":""Contact 392372251383 synced from generic creation"",""processed"":true}";;2026-01-21 14:26:27.253146+00
fe6b910c-80c8-48d0-9caa-aaf81bdf6e4b;3763980372;object.propertyChange;262218199794;7005509;dealstage;closedwon;2026-01-21 16:23:11.75+00;true;2026-01-21 16:23:17.033+00;"{""message"":""Deal 262218199794 synced. No pending confirmations"",""processed"":true}";;2026-01-21 16:23:14.013991+00
c73df08b-05ae-4f05-9fba-708b2d81c015;1730723572;object.propertyChange;262351917788;7005509;dealstage;presentationscheduled;2026-01-21 16:23:26.07+00;true;2026-01-21 16:23:28.456+00;"{""message"":""Deal 262351917788 synced. Stage \""presentationscheduled\"" does not trigger payout"",""processed"":true}";;2026-01-21 16:23:27.208984+00
6d7ee21b-0ea0-4738-b844-368057a13061;227642131;object.propertyChange;264148536025;7005509;dealstage;decisionmakerboughtin;2026-01-21 16:23:30.165+00;true;2026-01-21 16:23:31.75+00;"{""message"":""Deal 264148536025 synced. Stage \""decisionmakerboughtin\"" does not trigger payout"",""processed"":true}";;2026-01-21 16:23:30.80046+00
3f5f2ee8-b46c-4b42-9952-7ad093a0aedb;504248961;object.creation;392372274927;7005509;;;2026-01-21 16:39:07.991+00;true;2026-01-21 16:39:10.53+00;"{""message"":""Contact 392372274927 synced from generic creation"",""processed"":true}";;2026-01-21 16:39:09.740696+00
58e2ad76-a02f-4929-9a28-eea17b46aee3;1999013237;object.creation;393735398076;7005509;;;2026-01-21 16:39:30.601+00;true;2026-01-21 16:39:32.439+00;"{""message"":""Contact 393735398076 synced from generic creation"",""processed"":true}";;2026-01-21 16:39:31.751184+00
d9f07a4c-affb-4861-bff9-0ceac8c851e8;4096782404;object.propertyChange;269389114077;7005509;dealstage;3524886;2026-01-21 16:49:08.788+00;true;2026-01-21 16:49:10.731+00;"{""message"":""Deal 269389114077 synced. Stage \""3524886\"" does not trigger payout"",""processed"":true}";;2026-01-21 16:49:09.876275+00
db80a447-a147-4ec6-9308-75a3eddcb048;2195411712;object.creation;269389114077;7005509;;;2026-01-21 16:49:08.788+00;true;2026-01-21 16:49:12.379+00;"{""message"":""Deal 269389114077 synced from generic creation"",""processed"":true}";;2026-01-21 16:49:11.425529+00
8c922d4f-16b6-42be-b3c7-221cb945c083;385367443;object.propertyChange;40009390436;7005509;dealstage;closedwon;2026-01-21 16:58:42.478+00;true;2026-01-21 16:58:44.97+00;"{""message"":""Deal 40009390436 synced. No pending confirmations"",""processed"":true}";;2026-01-21 16:58:43.599688+00
5ab7899f-acf8-48d6-9980-5b18106d6565;694579606;object.propertyChange;256653186784;7005509;dealstage;presentationscheduled;2026-01-21 17:05:36.829+00;true;2026-01-21 17:05:39.289+00;"{""message"":""Deal 256653186784 synced. Stage \""presentationscheduled\"" does not trigger payout"",""processed"":true}";;2026-01-21 17:05:38.167843+00
cca9399b-211c-4b7c-8f6e-11e500ed2e92;130783994;object.propertyChange;45748738929;7005509;dealstage;decisionmakerboughtin;2026-01-21 17:05:39.956+00;true;2026-01-21 17:05:42.098+00;"{""message"":""Deal 45748738929 synced. Stage \""decisionmakerboughtin\"" does not trigger payout"",""processed"":true}";;2026-01-21 17:05:40.980671+00
73454530-931b-4786-ba9d-c19d380e9b2b;2272971109;object.propertyChange;256653186784;7005509;dealstage;decisionmakerboughtin;2026-01-21 17:05:41.052+00;true;2026-01-21 17:05:43.506+00;"{""message"":""Deal 256653186784 synced. Stage \""decisionmakerboughtin\"" does not trigger payout"",""processed"":true}";;2026-01-21 17:05:42.526316+00
b0d342fe-2066-47da-8d8d-ff0085135798;1102396620;object.propertyChange;267213778641;7005509;dealstage;decisionmakerboughtin;2026-01-21 17:05:44.934+00;true;2026-01-21 17:05:47.039+00;"{""message"":""Deal 267213778641 synced. Stage \""decisionmakerboughtin\"" does not trigger payout"",""processed"":true}";;2026-01-21 17:05:45.826955+00
7849ffed-c61a-4c96-8f01-9f296de6d722;1333427652;object.propertyChange;267595572982;7005509;dealstage;decisionmakerboughtin;2026-01-21 17:05:47.447+00;true;2026-01-21 17:05:49.213+00;"{""message"":""Deal 267595572982 synced. Stage \""decisionmakerboughtin\"" does not trigger payout"",""processed"":true}";;2026-01-21 17:05:48.307562+00
9392804c-450e-4539-9151-4f9b4ed38ba3;2607794267;object.propertyChange;257889970934;7005509;dealstage;closedwon;2026-01-21 17:06:54.678+00;true;2026-01-21 17:06:57.64+00;"{""message"":""Deal 257889970934 synced. No pending confirmations"",""processed"":true}";;2026-01-21 17:06:55.939005+00
b4e789a9-8efd-4f52-a861-53ca24f887cb;603708461;object.creation;393777654521;7005509;;;2026-01-21 17:07:27.723+00;true;2026-01-21 17:07:29.449+00;"{""message"":""Contact 393777654521 synced from generic creation"",""processed"":true}";;2026-01-21 17:07:28.752452+00
52bab690-eb61-4289-88ef-0c059ebf1e44;1960529726;object.creation;390062061302;7005509;;;2026-01-21 17:23:34.278+00;true;2026-01-21 17:23:36.97+00;"{""message"":""Contact 390062061302 synced from generic creation"",""processed"":true}";;2026-01-21 17:23:35.691559+00
f9537295-924f-4ad5-8e01-7ad5e616c1c8;568847568;object.propertyChange;265225156342;7005509;dealstage;closedwon;2026-01-21 17:23:49.497+00;true;2026-01-21 17:23:53.388+00;"{""message"":""Deal 265225156342 synced. No pending confirmations"",""processed"":true}";;2026-01-21 17:23:50.446489+00
10886317-7962-46fa-b053-265f0e545d6b;2937337392;object.creation;390062776014;7005509;;;2026-01-21 17:24:05.275+00;true;2026-01-21 17:24:06.582+00;"{""message"":""Contact 390062776014 synced from generic creation"",""processed"":true}";;2026-01-21 17:24:05.930797+00
a44fef5d-fcd9-48c5-bb01-8b861c4438ad;3683923380;object.creation;265926561495;7005509;;;2026-01-22 09:47:35.308+00;true;2026-01-22 09:47:38.891+00;"{""message"":""Company 265926561495 synced from generic creation"",""processed"":true}";;2026-01-22 09:47:37.800072+00
489f2614-d3fc-46bc-bd5c-09a78fb05a9e;356265660;object.propertyChange;256654681830;7005509;dealstage;presentationscheduled;2026-01-21 17:24:06.159+00;true;2026-01-21 17:24:08.06+00;"{""message"":""Deal 256654681830 synced. Stage \""presentationscheduled\"" does not trigger payout"",""processed"":true}";;2026-01-21 17:24:07.236721+00
38c9aeee-f5ed-47e6-88fb-ad59d66d1ec2;967648610;object.creation;401676604151;7005509;;;2026-01-27 21:41:21.309+00;true;2026-01-27 21:41:23.971+00;"{""message"":""Contact 401676604151 synced from generic creation"",""processed"":true}";;2026-01-27 21:41:22.919143+00
89d30a0f-4d3a-4a35-a359-36d7a5ac1056;1286384226;object.creation;270339702503;7005509;;;2026-01-21 17:27:51.172+00;true;2026-01-21 17:27:53.438+00;"{""message"":""Deal 270339702503 synced from generic creation"",""processed"":true}";;2026-01-21 17:27:52.378772+00
44856edb-d03e-45bf-8534-8b8ce49606ad;3785187439;object.creation;265926561502;7005509;;;2026-01-22 09:54:12.003+00;true;2026-01-22 09:54:14.759+00;"{""message"":""Company 265926561502 synced from generic creation"",""processed"":true}";;2026-01-22 09:54:13.708875+00
b482a445-51d3-47c8-bced-3e5436ac5669;3630750831;object.propertyChange;270339702503;7005509;dealstage;3524886;2026-01-21 17:27:51.172+00;true;2026-01-21 17:27:54.823+00;"{""message"":""Deal 270339702503 synced. Stage \""3524886\"" does not trigger payout"",""processed"":true}";;2026-01-21 17:27:53.890631+00
bdd8fe07-4582-4ec2-a47a-31cbf529b3b8;1550961762;object.creation;270505469647;7005509;;;2026-01-21 17:29:22.012+00;true;2026-01-21 17:29:27.358+00;"{""message"":""Deal 270505469647 synced from generic creation"",""processed"":true}";;2026-01-21 17:29:26.345693+00
e74df7a4-c0bb-48b6-a771-3978d2b440c4;2330379948;object.creation;267934730972;7005509;;;2026-01-22 12:30:47.972+00;true;2026-01-22 12:30:50.893+00;"{""message"":""Company 267934730972 synced from generic creation"",""processed"":true}";;2026-01-22 12:30:49.519645+00
93232aaa-82a3-456b-8199-9b12e17a15e0;3072842341;object.propertyChange;270505469647;7005509;dealstage;3524886;2026-01-21 17:29:22.012+00;true;2026-01-21 17:29:28.68+00;"{""message"":""Deal 270505469647 synced. Stage \""3524886\"" does not trigger payout"",""processed"":true}";;2026-01-21 17:29:27.746998+00
ad4c72ae-880b-49f0-9dcd-1ff6f6671b35;1668668030;object.creation;390062064352;7005509;;;2026-01-21 17:35:05.644+00;true;2026-01-21 17:35:07.998+00;"{""message"":""Contact 390062064352 synced from generic creation"",""processed"":true}";;2026-01-21 17:35:06.891762+00
7d634cea-bc09-4c58-b024-52ca7134f08a;3513847907;object.creation;266112264928;7005509;;;2026-01-22 12:37:51.935+00;true;2026-01-22 12:37:54.36+00;"{""message"":""Company 266112264928 synced from generic creation"",""processed"":true}";;2026-01-22 12:37:53.372876+00
4fbd0114-c446-4890-ab7f-5c6c6808e748;1354285243;object.creation;265878622921;7005509;;;2026-01-21 17:35:43.917+00;true;2026-01-21 17:35:46.379+00;"{""message"":""Company 265878622921 synced from generic creation"",""processed"":true}";;2026-01-21 17:35:45.426535+00
