id;module_name;feature_name;page_path;component_path;edge_function;database_tables;status;issues;notes;priority;estimated_hours;completed_at;last_audited_at;created_at;updated_at
d2ed8dac-140b-46bc-89b3-2e8e54704f1c;auth;Sign Up;/auth;src/pages/Auth.tsx;;;complete;[];Supabase auth configured;1;;;2025-12-28 17:24:34.335075+00;2025-12-28 17:24:34.335075+00;2025-12-28 17:24:34.335075+00
d514dd22-da82-4dfb-b407-fb05f8300407;auth;Sign In;/auth;src/pages/Auth.tsx;;;complete;[];Supabase auth configured;1;;;2025-12-28 17:24:34.335075+00;2025-12-28 17:24:34.335075+00;2025-12-28 17:24:34.335075+00
132a026a-ab57-41e3-9876-c2f8de0e6911;auth;Password Reset;/auth;src/pages/Auth.tsx;;;partial;"[""Reset email flow needs testing""]";;2;;;2025-12-28 17:24:34.335075+00;2025-12-28 17:24:34.335075+00;2025-12-28 17:24:34.335075+00
c90d823f-f618-4c97-8d67-04cab219f2bc;auth;Profile Management;/profile;src/pages/Profile.tsx;;;partial;"[""Avatar upload incomplete"",""BD ID verification UI only""]";;2;;;2025-12-28 17:24:34.335075+00;2025-12-28 17:24:34.335075+00;2025-12-28 17:24:34.335075+00
99c4cb63-176f-4690-9052-17a48c16539d;auth;Access Requests;/admin;src/components/AccessRequest.tsx;;;complete;[];Full approval workflow;2;;;2025-12-28 17:24:34.335075+00;2025-12-28 17:24:34.335075+00;2025-12-28 17:24:34.335075+00
3eac1a4f-67bc-4a52-81bb-2cb9ae08d343;auth;Invite System;/team-invitations;src/pages/TeamInvitations.tsx;;;complete;[];;3;;;2025-12-28 17:24:34.335075+00;2025-12-28 17:24:34.335075+00;2025-12-28 17:24:34.335075+00
16aa21e8-06b7-40be-ae2a-1bae87228db4;crm;Contact List;/crm;src/pages/CRM.tsx;;;complete;[];Full CRUD with database;1;;;2025-12-28 17:24:34.335075+00;2025-12-28 17:24:34.335075+00;2025-12-28 17:24:34.335075+00
85b14b85-76a9-4a7a-8a31-9bc58085c963;crm;Contact Detail;/crm/contacts/:id;src/pages/CRMContactDetail.tsx;;;complete;[];;1;;;2025-12-28 17:24:34.335075+00;2025-12-28 17:24:34.335075+00;2025-12-28 17:24:34.335075+00
90f3d978-7721-4a40-a315-fa5d74c715df;crm;Company Management;/crm;src/components/CRMCompanyForm.tsx;;;complete;[];;1;;;2025-12-28 17:24:34.335075+00;2025-12-28 17:24:34.335075+00;2025-12-28 17:24:34.335075+00
02bfd532-8789-4bbd-9491-2fe687d30db1;crm;Deal Pipeline;/crm;src/pages/CRM.tsx;;;complete;[];;1;;;2025-12-28 17:24:34.335075+00;2025-12-28 17:24:34.335075+00;2025-12-28 17:24:34.335075+00
0e71d05b-354f-473c-9bc8-b0a5688e9948;crm;Contact Notes;;src/components/CRMContactNotes.tsx;;;complete;[];;2;;;2025-12-28 17:24:34.335075+00;2025-12-28 17:24:34.335075+00;2025-12-28 17:24:34.335075+00
fb09125d-039d-4086-9ecc-949700b01a1f;crm;Activity Tracking;;src/components/ActivityLogger.tsx;;;complete;[];;2;;;2025-12-28 17:24:34.335075+00;2025-12-28 17:24:34.335075+00;2025-12-28 17:24:34.335075+00
cd0d175c-d6e3-46f8-af86-3e693418757d;crm;Contact Import (CSV);;src/components/ContactImportModal.tsx;;;complete;[];;3;;;2025-12-28 17:24:34.335075+00;2025-12-28 17:24:34.335075+00;2025-12-28 17:24:34.335075+00
05e742e2-8991-49be-b1c1-bbb59c85c091;crm;Contact Import (PDF);;src/components/PDFContactImport.tsx;;;partial;"[""Edge function works but PDF parsing limited""]";;3;;;2025-12-28 17:24:34.335075+00;2025-12-28 17:24:34.335075+00;2025-12-28 17:24:34.335075+00
71aa5d40-788b-44fd-8669-e470ae13a7eb;crm;CRM Integrations;/crm/integrations;src/pages/CRMIntegrations.tsx;;;mock_only;"[""OAuth buttons present but no actual integration"",""No HubSpot/Salesforce sync""]";;4;;;2025-12-28 17:24:34.335075+00;2025-12-28 17:24:34.335075+00;2025-12-28 17:24:34.335075+00
c8e15dea-9e23-4219-bb72-e3791be1a9da;deal_rooms;Room Creation;/deal-rooms/new;src/pages/DealRoomNew.tsx;;;complete;[];;1;;;2025-12-28 17:24:34.335075+00;2025-12-28 17:24:34.335075+00;2025-12-28 17:24:34.335075+00
50af2772-aab2-47b2-93c8-4d7cdbed9451;deal_rooms;Room Overview;/deal-rooms/:id;src/components/dealroom/DealRoomOverview.tsx;;;complete;[];;1;;;2025-12-28 17:24:34.335075+00;2025-12-28 17:24:34.335075+00;2025-12-28 17:24:34.335075+00
d411ec7f-491e-4c97-aea0-ee1680962fc6;deal_rooms;Participants Management;;src/components/dealroom/DealRoomParticipants.tsx;;;complete;[];;2;;;2025-12-28 17:24:34.335075+00;2025-12-28 17:24:34.335075+00;2025-12-28 17:24:34.335075+00
a355bc47-c93c-476e-b0ee-83c717de45c8;deal_rooms;AI Analysis;;src/components/dealroom/DealRoomAIAnalysis.tsx;;;partial;"[""Uses Lovable API but results are basic""]";;2;;;2025-12-28 17:24:34.335075+00;2025-12-28 17:24:34.335075+00;2025-12-28 17:24:34.335075+00
030f0961-5c93-47be-9b91-dcb025bcca53;deal_rooms;Document Uploads;;src/components/DealDocumentUpload.tsx;;;partial;"[""Storage bucket exists but no file preview""]";;3;;;2025-12-28 17:24:34.335075+00;2025-12-28 17:24:34.335075+00;2025-12-28 17:24:34.335075+00
b20c9150-dc7e-461e-8ddd-cdebe637942c;deal_rooms;Deal Structures;;src/components/dealroom/DealRoomStructures.tsx;;;mock_only;"[""Static templates, no dynamic generation""]";;3;;;2025-12-28 17:24:34.335075+00;2025-12-28 17:24:34.335075+00;2025-12-28 17:24:34.335075+00
abe99908-dd2a-4b55-b458-71d03fd5f638;deal_rooms;Voting & Signatures;;src/components/dealroom/DealRoomContributions.tsx;;;mock_only;"[""UI exists but no signature capture""]";;4;;;2025-12-28 17:24:34.335075+00;2025-12-28 17:24:34.335075+00;2025-12-28 17:24:34.335075+00
a77bd709-703b-4a40-9ca3-fca0a3408ec1;calendar;Calendar View;/calendar;src/pages/Calendar.tsx;;;partial;"[""View only, no event creation""]";;2;;;2025-12-28 17:24:34.335075+00;2025-12-28 17:24:34.335075+00;2025-12-28 17:24:34.335075+00
2675c006-f696-402e-bef8-cd0c4d51ea0a;calendar;Meeting Creation;;src/components/CreateMeetingModal.tsx;;;partial;"[""Creates in DB but no calendar sync""]";;2;;;2025-12-28 17:24:34.335075+00;2025-12-28 17:24:34.335075+00;2025-12-28 17:24:34.335075+00
82e00e2b-e6be-4c09-95a6-23c1a505a3fe;calendar;Smart Scheduler;/smart-schedule;src/pages/SmartSchedule.tsx;;;mock_only;"[""AI generates schedule but not persisted"",""No timezone handling""]";;3;;;2025-12-28 17:24:34.335075+00;2025-12-28 17:24:34.335075+00;2025-12-28 17:24:34.335075+00
90a543a0-4e35-469a-a2d8-cb4caa8c4755;calendar;Scheduling Preferences;/scheduling-settings;src/pages/SchedulingSettings.tsx;;;partial;"[""Preferences save but not used by scheduler""]";;3;;;2025-12-28 17:24:34.335075+00;2025-12-28 17:24:34.335075+00;2025-12-28 17:24:34.335075+00
78e8bbe5-ef83-4883-b107-366b021986a8;tasks;Task List;/tasks;src/pages/Tasks.tsx;;;complete;[];;1;;;2025-12-28 17:24:34.335075+00;2025-12-28 17:24:34.335075+00;2025-12-28 17:24:34.335075+00
504780be-37ce-4143-ae7a-1e2c63e4a849;tasks;Task CRUD;/tasks;src/pages/Tasks.tsx;;;complete;[];;1;;;2025-12-28 17:24:34.335075+00;2025-12-28 17:24:34.335075+00;2025-12-28 17:24:34.335075+00
79dc4a3b-3b39-46f7-b022-55d5e3e02f14;tasks;Task Detail Modal;;src/components/TaskDetailModal.tsx;;;complete;[];;2;;;2025-12-28 17:24:34.335075+00;2025-12-28 17:24:34.335075+00;2025-12-28 17:24:34.335075+00
b3ffebff-d7f5-4005-a2a7-d8aa7bccecca;tasks;AI Task Planning;;src/components/apps/AITaskPlanner.tsx;;;partial;"[""AI categorization works"",""Generated tasks not auto-added""]";;3;;;2025-12-28 17:24:34.335075+00;2025-12-28 17:24:34.335075+00;2025-12-28 17:24:34.335075+00
4a93b1a0-384c-4be4-99e5-b36a8530c8cb;tasks;Print Tasks;;src/components/PrintTasksDialog.tsx;;;complete;[];;4;;;2025-12-28 17:24:34.335075+00;2025-12-28 17:24:34.335075+00;2025-12-28 17:24:34.335075+00
2c55940a-2078-4eb0-bc0f-ad0224260e7f;messaging;Messages List;/messages;src/pages/Messages.tsx;;;partial;"[""UI shows but real-time not verified""]";;2;;;2025-12-28 17:24:34.335075+00;2025-12-28 17:24:34.335075+00;2025-12-28 17:24:34.335075+00
84bdabb5-d3ab-4b06-95c8-b926ae2b0c60;messaging;Email Compose;;src/components/ComposeEmail.tsx;;;partial;"[""Uses Resend edge function"",""No email history tracking""]";;3;;;2025-12-28 17:24:34.335075+00;2025-12-28 17:24:34.335075+00;2025-12-28 17:24:34.335075+00
cf6cc442-1082-4364-be53-128d01adeb56;messaging;SMS Send;;src/components/SMSComposer.tsx;;;mock_only;"[""Edge function exists but no provider configured""]";;4;;;2025-12-28 17:24:34.335075+00;2025-12-28 17:24:34.335075+00;2025-12-28 17:24:34.335075+00
a7a428ee-a608-4635-93b0-a1776215d2ac;messaging;SMS Conversations;;src/components/SMSConversations.tsx;;;mock_only;"[""UI only, webhook not receiving""]";;4;;;2025-12-28 17:24:34.335075+00;2025-12-28 17:24:34.335075+00;2025-12-28 17:24:34.335075+00
fe7d3cb5-f62d-49e3-9b28-3f8ed7d655f5;messaging;VoIP Dialer;;src/components/VoIPDialer.tsx;;;mock_only;"[""UI only, no Twilio/Vonage integration""]";;5;;;2025-12-28 17:24:34.335075+00;2025-12-28 17:24:34.335075+00;2025-12-28 17:24:34.335075+00
